Order ID,Date,Order Date Text,Year,Product,Category,State,Region,Region (Messy),City-State,Country,Quantity Sold,Cost Price,Selling Price,Discount Flag,Salesperson,Target Margin %
1013,01/01/2021,01-01-2021,2021,Product 4,Clothing,Pennsylvania,North,  North ,"New York City, Pennsylvania",USA,21.0,52.5,63.43,No,Brooke,0.25
1014,01/01/2021,01-01-2021,2021,Product 4,Clothing,Texas,South,  South ,"Philadelphia, Texas",USA,19.0,47.5,52.5,Unknown,CHRIS,0.30
1014,01/01/2021,01-01-2021,2021,Product 4,Clothing,Georgia,South,  South ,"Houston, Georgia",USA,28.0,70.0,95.39,Yes,Drew,0.15
1015,01/01/2021,01-01-2021,2021,Product 4,Clothing,Florida,East,  East ,"Atlanta, Florida",USA,29.0,72.5,89.29,No,Elliot,0.20
1015,01/01/2021,01-01-2021,2021,Product 4,Clothing,North Carolina,East,  East ,"Miami, North Carolina",USA,30.0,75.0,83.04,Unknown,,0.25
1016,01/01/2021,2021/01/01,2021,Product 4,Clothing,California,West,  West ,"New York City, California",USA,28.0,70.0,89.89,Yes,alex,0.30
1016,01/01/2021,01-01-2021,2021,Product 4,Clothing,Washington,West,  West ,"Philadelphia, Washington",USA,20.0,50.0,73.75,No,Brooke,0.15
1017,01/01/2021,01-01-2021,2021,Product 5,Clothing,New York,North,  North ,"Houston, New York",USA,25.0,37.5,51.89,Unknown,CHRIS,0.20
1017,01/01/2021,01-01-2021,2021,Product 5,Clothing,Pennsylvania,North,  North ,"Atlanta, Pennsylvania",USA,30.0,45.0,52.54,Yes,Drew,0.25
1018,01/01/2021,01-01-2021,2021,Product 5,Clothing,Texas,South,  South ,"Miami, Texas",USA,22.0,33.0,44.26,No,Elliot,0.30
1018,01/01/2021,01-01-2021,2021,Product 5,Clothing,Georgia,South,  South ,"New York City, Georgia",USA,30.0,45.0,62.08,Unknown,,0.15
1019,01/01/2021,01-01-2021,2021,Product 5,Clothing,Florida,East,  East ,"Philadelphia, Florida",USA,29.0,43.5,59.66,Yes,alex,0.20
1019,01/01/2021,01-01-2021,2021,Product 5,Clothing,North Carolina,East,  East ,"Houston, North Carolina",USA,,28.5,41.94,No,Brooke,0.25
1020,01/01/2021,01-01-2021,2021,Product 5,Clothing,California,West,  West ,"Atlanta, California",USA,17.0,25.5,33.88,Unknown,CHRIS,0.30
1020,01/01/2021,01-01-2021,2021,Product 5,Clothing,Washington,West,  West ,"Miami, Washington",USA,31.0,46.5,60.78,Yes,Drew,0.15
1021,01/01/2021,2021/01/01,2021,Product 6,Clothing,New York,North,  North ,"New York City, New York",USA,30.0,120.0,143.93,No,Elliot,0.20
1021,01/01/2021,01-01-2021,2021,Product 6,Clothing,Pennsylvania,North,  North ,"Philadelphia, Pennsylvania",USA,24.0,96.0,123.07,Unknown,,0.25
1022,01/01/2021,01-01-2021,2021,Product 6,Clothing,Texas,South,  South ,"Houston, Texas",USA,32.0,128.0,162.73,Yes,alex,0.30
1022,01/01/2021,01-01-2021,2021,Product 6,Clothing,Georgia,South,  South ,"Atlanta, Georgia",USA,27.0,108.0,135.66,No,Brooke,0.15
1023,01/01/2021,01-01-2021,2021,Product 6,Clothing,Florida,East,  East ,"Miami, Florida",USA,22.0,88.0,122.67,Unknown,CHRIS,0.20
1023,01/01/2021,01-01-2021,2021,Product 6,Clothing,North Carolina,East,  East ,"New York City, North Carolina",USA,34.0,136.0,164.65,Yes,Drew,0.25
1024,01/01/2021,01-01-2021,2021,Product 6,Clothing,California,West,  West ,"Philadelphia, California",USA,24.0,96.0,116.29,No,Elliot,0.30
1024,01/01/2021,01-01-2021,2021,Product 6,Clothing,Washington,West,  West ,"Houston, Washington",USA,28.0,112.0,166.58,Unknown,,0.15
1025,01/01/2021,01-01-2021,2021,Product 7,Home Goods,New York,North,  North ,"Atlanta, New York",USA,33.0,330.0,412.9,Yes,alex,0.20
1025,01/01/2021,01-01-2021,2021,Product 7,Home Goods,Pennsylvania,North,  North ,"Miami, Pennsylvania",USA,27.0,270.0,384.56,No,Brooke,0.25
1026,01/01/2021,2021/01/01,2021,Product 7,Home Goods,Texas,South,  South ,"New York City, Texas",USA,23.0,230.0,342.55,Unknown,CHRIS,0.30
1026,01/01/2021,01-01-2021,2021,Product 7,Home Goods,Georgia,South,  South ,"Philadelphia, Georgia",USA,20.0,200.0,297.23,Yes,Drew,0.15
1027,01/01/2021,01-01-2021,2021,Product 7,Home Goods,Florida,East,  East ,"Houston, Florida",USA,31.0,310.0,435.61,No,Elliot,0.20
1027,01/01/2021,01-01-2021,2021,Product 7,Home Goods,North Carolina,East,  East ,"Atlanta, North Carolina",USA,25.0,,330.75,Unknown,,0.25
1028,01/01/2021,01-01-2021,2021,Product 7,Home Goods,California,West,  West ,"Miami, California",USA,23.0,230.0,314.96,Yes,alex,0.30
1028,01/01/2021,01-01-2021,2021,Product 7,Home Goods,Washington,West,  West ,"New York City, Washington",USA,34.0,340.0,375.31,No,Brooke,0.15
1029,01/01/2021,01-01-2021,2021,Product 8,Home Goods,New York,North,  North ,"Philadelphia, New York",USA,27.0,202.5,292.27,Unknown,CHRIS,0.20
1029,01/01/2021,01-01-2021,2021,Product 8,Home Goods,Pennsylvania,North,  North ,"Houston, Pennsylvania",USA,23.0,172.5,207.27,Yes,Drew,0.25
1030,01/01/2021,01-01-2021,2021,Product 8,Home Goods,Texas,South,  South ,"Atlanta, Texas",USA,17.0,127.5,141.31,No,Elliot,0.30
1030,01/01/2021,01-01-2021,2021,Product 8,Home Goods,Georgia,South,  South ,"Miami, Georgia",USA,33.0,247.5,320.42,Unknown,,0.15
1031,01/01/2021,2021/01/01,2021,Product 8,Home Goods,Florida,East,  East ,"New York City, Florida",USA,26.0,195.0,247.61,Yes,alex,0.20
1031,01/01/2021,01-01-2021,2021,Product 8,Home Goods,North Carolina,East,  East ,"Philadelphia, North Carolina",USA,32.0,240.0,328.68,No,Brooke,0.25
1032,01/01/2021,01-01-2021,2021,Product 8,Home Goods,California,West,  West ,"Houston, California",USA,17.0,127.5,157.05,Unknown,CHRIS,0.30
1032,01/01/2021,01-01-2021,2021,Product 8,Home Goods,Washington,West,  West ,"Atlanta, Washington",USA,17.0,127.5,151.59,Yes,Drew,0.15
1033,01/01/2021,01-01-2021,2021,Product 9,Home Goods,New York,North,  North ,"Miami, New York",USA,18.0,90.0,114.62,No,Elliot,0.20
1033,01/01/2021,01-01-2021,2021,Product 9,Home Goods,Pennsylvania,North,  North ,"New York City, Pennsylvania",USA,26.0,130.0,183.31,Unknown,,0.25
1034,01/01/2021,01-01-2021,2021,Product 9,Home Goods,Texas,South,  South ,"Philadelphia, Texas",USA,27.0,135.0,170.1,Yes,alex,0.30
1034,01/01/2021,01-01-2021,2021,Product 9,Home Goods,Georgia,South,  South ,"Houston, Georgia",USA,26.0,130.0,194.26,No,Brooke,0.15
1035,01/01/2021,01-01-2021,2021,Product 9,Home Goods,Florida,East,  East ,"Atlanta, Florida",USA,17.0,85.0,123.47,Unknown,CHRIS,0.20
1035,01/01/2021,01-01-2021,2021,Product 9,Home Goods,North Carolina,East,  East ,"Miami, North Carolina",USA,28.0,140.0,180.05,Yes,Drew,0.25
1036,01/01/2021,2021/01/01,2021,Product 9,Home Goods,California,West,  West ,"New York City, California",USA,28.0,140.0,195.77,No,Elliot,0.30
1036,01/01/2021,01-01-2021,2021,Product 9,Home Goods,Washington,West,  West ,"Philadelphia, Washington",USA,32.0,160.0,188.4,Unknown,,0.15
1037,01/01/2021,01-01-2021,2021,Product 10,Home Goods,New York,North,  North ,"Houston, New York",USA,30.0,375.0,494.04,Yes,alex,0.20
1037,01/01/2021,01-01-2021,2021,Product 10,Home Goods,Pennsylvania,North,  North ,"Atlanta, Pennsylvania",USA,21.0,262.5,382.33,No,Brooke,0.25
1038,01/01/2021,01-01-2021,2021,Product 10,Home Goods,Texas,South,  South ,"Miami, Texas",USA,,300.0,379.37,Unknown,CHRIS,0.30
1038,01/01/2021,01-01-2021,2021,Product 10,Home Goods,Georgia,South,  South ,"New York City, Georgia",USA,27.0,337.5,488.19,Yes,Drew,0.15
1039,01/01/2021,01-01-2021,2021,Product 10,Home Goods,Florida,East,  East ,"Philadelphia, Florida",USA,27.0,337.5,434.72,No,Elliot,0.20
1039,01/01/2021,01-01-2021,2021,Product 10,Home Goods,North Carolina,East,  East ,"Houston, North Carolina",USA,29.0,362.5,528.78,Unknown,,0.25
1040,01/01/2021,01-01-2021,2021,Product 10,Home Goods,California,West,  West ,"Atlanta, California",USA,25.0,312.5,378.03,Yes,alex,0.30
1040,01/01/2021,01-01-2021,2021,Product 10,Home Goods,Washington,West,  West ,"Miami, Washington",USA,19.0,237.5,267.32,No,Brooke,0.15
1041,01/02/2021,2021/02/01,2021,Product 1,Electronics,New York,North,  North ,"New York City, New York",USA,20.0,500.0,552.03,Unknown,CHRIS,0.20
1041,01/02/2021,01-02-2021,2021,Product 1,Electronics,Pennsylvania,North,  North ,"Philadelphia, Pennsylvania",USA,19.0,475.0,638.15,Yes,Drew,0.25
1042,01/02/2021,01-02-2021,2021,Product 1,Electronics,Texas,South,  South ,"Houston, Texas",USA,21.0,525.0,698.4,No,Elliot,0.30
1042,01/02/2021,01-02-2021,2021,Product 1,Electronics,Georgia,South,  South ,"Atlanta, Georgia",USA,35.0,875.0,1011.11,Unknown,,0.15
1043,01/02/2021,01-02-2021,2021,Product 1,Electronics,Florida,East,  East ,"Miami, Florida",USA,24.0,600.0,797.96,Yes,alex,0.20
1043,01/02/2021,01-02-2021,2021,Product 1,Electronics,North Carolina,East,  East ,"New York City, North Carolina",USA,25.0,625.0,879.03,No,Brooke,0.25
1044,01/02/2021,01-02-2021,2021,Product 1,Electronics,California,West,  West ,"Philadelphia, California",USA,18.0,450.0,603.22,Unknown,CHRIS,0.30
1044,01/02/2021,01-02-2021,2021,Product 1,Electronics,Washington,West,  West ,"Houston, Washington",USA,35.0,875.0,1185.54,Yes,Drew,0.15
1045,01/02/2021,01-02-2021,2021,Product 2,Electronics,New York,North,  North ,"Atlanta, New York",USA,28.0,420.0,530.62,No,Elliot,0.20
1045,01/02/2021,01-02-2021,2021,Product 2,Electronics,Pennsylvania,North,  North ,"Miami, Pennsylvania",USA,17.0,255.0,334.53,Unknown,,0.25
1046,01/02/2021,2021/02/01,2021,Product 2,Electronics,Texas,South,  South ,"New York City, Texas",USA,22.0,330.0,432.96,Yes,alex,0.30
1046,01/02/2021,01-02-2021,2021,Product 2,Electronics,Georgia,South,  South ,"Philadelphia, Georgia",USA,35.0,525.0,613.38,No,Brooke,0.15
1047,01/02/2021,01-02-2021,2021,Product 2,Electronics,Florida,East,  East ,"Houston, Florida",USA,25.0,375.0,437.28,Unknown,CHRIS,0.20
1047,01/02/2021,01-02-2021,2021,Product 2,Electronics,North Carolina,East,  East ,"Atlanta, North Carolina",USA,22.0,330.0,393.68,Yes,Drew,0.25
1048,01/02/2021,01-02-2021,2021,Product 2,Electronics,California,West,  West ,"Miami, California",USA,18.0,270.0,352.34,No,Elliot,0.30
1048,01/02/2021,01-02-2021,2021,Product 2,Electronics,Washington,West,  West ,"New York City, Washington",USA,21.0,315.0,429.0,Unknown,,0.15
1049,01/02/2021,01-02-2021,2021,Product 3,Electronics,New York,North,  North ,"Philadelphia, New York",USA,22.0,1100.0,1327.81,Yes,alex,0.20
1049,01/02/2021,01-02-2021,2021,Product 3,Electronics,Pennsylvania,North,  North ,"Houston, Pennsylvania",USA,16.0,800.0,999.83,No,Brooke,0.25
1050,01/02/2021,01-02-2021,2021,Product 3,Electronics,Texas,South,  South ,"Atlanta, Texas",USA,18.0,900.0,1177.19,Unknown,CHRIS,0.30
1050,01/02/2021,01-02-2021,2021,Product 3,Electronics,Georgia,South,  South ,"Miami, Georgia",USA,32.0,1600.0,2339.69,Yes,Drew,0.15
1051,01/02/2021,2021/02/01,2021,Product 3,Electronics,Florida,East,  East ,"New York City, Florida",USA,33.0,1650.0,1991.17,No,Elliot,0.20
1051,01/02/2021,01-02-2021,2021,Product 3,Electronics,North Carolina,East,  East ,"Philadelphia, North Carolina",USA,28.0,1400.0,ERROR,Unknown,,0.25
1052,01/02/2021,01-02-2021,2021,Product 3,Electronics,California,West,  West ,"Houston, California",USA,35.0,1750.0,2293.01,Yes,alex,0.30
1052,01/02/2021,01-02-2021,2021,Product 3,Electronics,Washington,West,  West ,"Atlanta, Washington",USA,34.0,1700.0,2485.29,No,Brooke,0.15
1053,01/02/2021,01-02-2021,2021,Product 4,Clothing,New York,North,  North ,"Miami, New York",USA,27.0,67.5,100.8,Unknown,CHRIS,0.20
1053,01/02/2021,01-02-2021,2021,Product 4,Clothing,Pennsylvania,North,  North ,"New York City, Pennsylvania",USA,16.0,40.0,49.31,Yes,Drew,0.25
1054,01/02/2021,01-02-2021,2021,Product 4,Clothing,Texas,South,  South ,"Philadelphia, Texas",USA,26.0,,76.12,No,Elliot,0.30
1054,01/02/2021,01-02-2021,2021,Product 4,Clothing,Georgia,South,  South ,"Houston, Georgia",USA,33.0,82.5,96.16,Unknown,,0.15
1055,01/02/2021,01-02-2021,2021,Product 4,Clothing,Florida,East,  East ,"Atlanta, Florida",USA,18.0,45.0,56.1,Yes,alex,0.20
1055,01/02/2021,01-02-2021,2021,Product 4,Clothing,North Carolina,East,  East ,"Miami, North Carolina",USA,35.0,87.5,113.29,No,Brooke,0.25
1056,01/02/2021,2021/02/01,2021,Product 4,Clothing,California,West,  West ,"New York City, California",USA,25.0,62.5,88.81,Unknown,CHRIS,0.30
1056,01/02/2021,01-02-2021,2021,Product 4,Clothing,Washington,West,  West ,"Philadelphia, Washington",USA,,80.0,118.24,Yes,Drew,0.15
1057,01/02/2021,01-02-2021,2021,Product 5,Clothing,New York,North,  North ,"Houston, New York",USA,25.0,37.5,44.13,No,Elliot,0.20
1057,01/02/2021,01-02-2021,2021,Product 5,Clothing,Pennsylvania,North,  North ,"Atlanta, Pennsylvania",USA,32.0,48.0,70.88,Unknown,,0.25
1058,01/02/2021,01-02-2021,2021,Product 5,Clothing,Texas,South,  South ,"Miami, Texas",USA,27.0,40.5,53.64,Yes,alex,0.30
1058,01/02/2021,01-02-2021,2021,Product 5,Clothing,Georgia,South,  South ,"New York City, Georgia",USA,23.0,34.5,46.83,No,Brooke,0.15
1059,01/02/2021,01-02-2021,2021,Product 5,Clothing,Florida,East,  East ,"Philadelphia, Florida",USA,21.0,31.5,38.46,Unknown,CHRIS,0.20
1059,01/02/2021,01-02-2021,2021,Product 5,Clothing,North Carolina,East,  East ,"Houston, North Carolina",USA,19.0,28.5,35.3,Yes,Drew,0.25
1060,01/02/2021,01-02-2021,2021,Product 5,Clothing,California,West,  West ,"Atlanta, California",USA,27.0,40.5,48.42,No,Elliot,0.30
1060,01/02/2021,01-02-2021,2021,Product 5,Clothing,Washington,West,  West ,"Miami, Washington",USA,23.0,34.5,41.52,Unknown,,0.15
1061,01/02/2021,2021/02/01,2021,Product 6,Clothing,New York,North,  North ,"New York City, New York",USA,16.0,64.0,77.15,Yes,alex,0.20
1061,01/02/2021,01-02-2021,2021,Product 6,Clothing,Pennsylvania,North,  North ,"Philadelphia, Pennsylvania",USA,18.0,72.0,95.51,No,Brooke,0.25
1062,01/02/2021,01-02-2021,2021,Product 6,Clothing,Texas,South,  South ,"Houston, Texas",USA,19.0,76.0,85.51,Unknown,CHRIS,0.30
1062,01/02/2021,01-02-2021,2021,Product 6,Clothing,Georgia,South,  South ,"Atlanta, Georgia",USA,20.0,80.0,104.02,Yes,Drew,0.15
1063,01/02/2021,01-02-2021,2021,Product 6,Clothing,Florida,East,  East ,"Miami, Florida",USA,26.0,104.0,133.41,No,Elliot,0.20
1063,01/02/2021,01-02-2021,2021,Product 6,Clothing,North Carolina,East,  East ,"New York City, North Carolina",USA,25.0,100.0,117.3,Unknown,,0.25
1064,01/02/2021,01-02-2021,2021,Product 6,Clothing,California,West,  West ,"Philadelphia, California",USA,25.0,100.0,117.53,Yes,alex,0.30
1064,01/02/2021,01-02-2021,2021,Product 6,Clothing,Washington,West,  West ,"Houston, Washington",USA,17.0,68.0,76.24,No,Brooke,0.15
1065,01/02/2021,01-02-2021,2021,Product 7,Home Goods,New York,North,  North ,"Atlanta, New York",USA,29.0,290.0,431.37,Unknown,CHRIS,0.20
1065,01/02/2021,01-02-2021,2021,Product 7,Home Goods,Pennsylvania,North,  North ,"Miami, Pennsylvania",USA,30.0,300.0,440.06,Yes,Drew,0.25
1066,01/02/2021,2021/02/01,2021,Product 7,Home Goods,Texas,South,  South ,"New York City, Texas",USA,25.0,250.0,330.28,No,Elliot,0.30
1066,01/02/2021,01-02-2021,2021,Product 7,Home Goods,Georgia,South,  South ,"Philadelphia, Georgia",USA,28.0,280.0,410.04,Unknown,,0.15
1067,01/02/2021,01-02-2021,2021,Product 7,Home Goods,Florida,East,  East ,"Houston, Florida",USA,25.0,250.0,343.6,Yes,alex,0.20
1067,01/02/2021,01-02-2021,2021,Product 7,Home Goods,North Carolina,East,  East ,"Atlanta, North Carolina",USA,25.0,250.0,280.38,No,Brooke,0.25
1068,01/02/2021,01-02-2021,2021,Product 7,Home Goods,California,West,  West ,"Miami, California",USA,31.0,310.0,389.93,Unknown,CHRIS,0.30
1068,01/02/2021,01-02-2021,2021,Product 7,Home Goods,Washington,West,  West ,"New York City, Washington",USA,35.0,350.0,427.11,Yes,Drew,0.15
1069,01/02/2021,01-02-2021,2021,Product 8,Home Goods,New York,North,  North ,"Philadelphia, New York",USA,23.0,172.5,203.9,No,Elliot,0.20
1069,01/02/2021,01-02-2021,2021,Product 8,Home Goods,Pennsylvania,North,  North ,"Houston, Pennsylvania",USA,31.0,232.5,342.81,Unknown,,0.25
1070,01/02/2021,01-02-2021,2021,Product 8,Home Goods,Texas,South,  South ,"Atlanta, Texas",USA,26.0,195.0,231.74,Yes,alex,0.30
1070,01/02/2021,01-02-2021,2021,Product 8,Home Goods,Georgia,South,  South ,"Miami, Georgia",USA,28.0,210.0,238.66,No,Brooke,0.15
1071,01/02/2021,2021/02/01,2021,Product 8,Home Goods,Florida,East,  East ,"New York City, Florida",USA,35.0,262.5,289.67,Unknown,CHRIS,0.20
1071,01/02/2021,01-02-2021,2021,Product 8,Home Goods,North Carolina,East,  East ,"Philadelphia, North Carolina",USA,17.0,127.5,156.25,Yes,Drew,0.25
1072,01/02/2021,01-02-2021,2021,Product 8,Home Goods,California,West,  West ,"Houston, California",USA,19.0,142.5,210.38,No,Elliot,0.30
1072,01/02/2021,01-02-2021,2021,Product 8,Home Goods,Washington,West,  West ,"Atlanta, Washington",USA,25.0,187.5,213.94,Unknown,,0.15
1073,01/02/2021,01-02-2021,2021,Product 9,Home Goods,New York,North,  North ,"Miami, New York",USA,22.0,110.0,127.16,Yes,alex,0.20
1073,01/02/2021,01-02-2021,2021,Product 9,Home Goods,Pennsylvania,North,  North ,"New York City, Pennsylvania",USA,22.0,110.0,154.28,No,Brooke,0.25
1074,01/02/2021,01-02-2021,2021,Product 9,Home Goods,Texas,South,  South ,"Philadelphia, Texas",USA,31.0,155.0,202.29,Unknown,CHRIS,0.30
1074,01/02/2021,01-02-2021,2021,Product 9,Home Goods,Georgia,South,  South ,"Houston, Georgia",USA,34.0,170.0,218.89,Yes,Drew,0.15
1075,01/02/2021,01-02-2021,2021,Product 9,Home Goods,Florida,East,  East ,"Atlanta, Florida",USA,,135.0,152.39,No,Elliot,0.20
1075,01/02/2021,01-02-2021,2021,Product 9,Home Goods,North Carolina,East,  East ,"Miami, North Carolina",USA,28.0,140.0,171.7,Unknown,,0.25
1076,01/02/2021,2021/02/01,2021,Product 9,Home Goods,California,West,  West ,"New York City, California",USA,21.0,105.0,141.66,Yes,alex,0.30
1076,01/02/2021,01-02-2021,2021,Product 9,Home Goods,Washington,West,  West ,"Philadelphia, Washington",USA,32.0,160.0,239.12,No,Brooke,0.15
1077,01/02/2021,01-02-2021,2021,Product 10,Home Goods,New York,North,  North ,"Houston, New York",USA,16.0,200.0,221.58,Unknown,CHRIS,0.20
1077,01/02/2021,01-02-2021,2021,Product 10,Home Goods,Pennsylvania,North,  North ,"Atlanta, Pennsylvania",USA,22.0,275.0,324.46,Yes,Drew,0.25
1078,01/02/2021,01-02-2021,2021,Product 10,Home Goods,Texas,South,  South ,"Miami, Texas",USA,34.0,425.0,607.21,No,Elliot,0.30
1078,01/02/2021,01-02-2021,2021,Product 10,Home Goods,Georgia,South,  South ,"New York City, Georgia",USA,17.0,212.5,298.0,Unknown,,0.15
1079,01/02/2021,01-02-2021,2021,Product 10,Home Goods,Florida,East,  East ,"Philadelphia, Florida",USA,17.0,212.5,277.9,Yes,alex,0.20
1079,01/02/2021,01-02-2021,2021,Product 10,Home Goods,North Carolina,East,  East ,"Houston, North Carolina",USA,20.0,250.0,348.45,No,Brooke,0.25
1080,01/02/2021,01-02-2021,2021,Product 10,Home Goods,California,West,  West ,"Atlanta, California",USA,25.0,312.5,447.27,Unknown,CHRIS,0.30
1080,01/02/2021,01-02-2021,2021,Product 10,Home Goods,Washington,West,  West ,"Miami, Washington",USA,32.0,,505.42,Yes,Drew,0.15
1081,01/03/2021,2021/03/01,2021,Product 1,Electronics,New York,North,  North ,"New York City, New York",USA,30.0,750.0,1031.63,No,Elliot,0.20
1081,01/03/2021,01-03-2021,2021,Product 1,Electronics,Pennsylvania,North,  North ,"Philadelphia, Pennsylvania",USA,16.0,400.0,569.85,Unknown,,0.25
1082,01/03/2021,01-03-2021,2021,Product 1,Electronics,Texas,South,  South ,"Houston, Texas",USA,23.0,575.0,672.01,Yes,alex,0.30
1082,01/03/2021,01-03-2021,2021,Product 1,Electronics,Georgia,South,  South ,"Atlanta, Georgia",USA,31.0,775.0,1126.84,No,Brooke,0.15
1083,01/03/2021,01-03-2021,2021,Product 1,Electronics,Florida,East,  East ,"Miami, Florida",USA,23.0,575.0,818.73,Unknown,CHRIS,0.20
1083,01/03/2021,01-03-2021,2021,Product 1,Electronics,North Carolina,East,  East ,"New York City, North Carolina",USA,26.0,650.0,772.44,Yes,Drew,0.25
1084,01/03/2021,01-03-2021,2021,Product 1,Electronics,California,West,  West ,"Philadelphia, California",USA,31.0,775.0,905.25,No,Elliot,0.30
1084,01/03/2021,01-03-2021,2021,Product 1,Electronics,Washington,West,  West ,"Houston, Washington",USA,22.0,550.0,806.23,Unknown,,0.15
1085,01/03/2021,01-03-2021,2021,Product 2,Electronics,New York,North,  North ,"Atlanta, New York",USA,18.0,270.0,383.13,Yes,alex,0.20
1085,01/03/2021,01-03-2021,2021,Product 2,Electronics,Pennsylvania,North,  North ,"Miami, Pennsylvania",USA,35.0,525.0,780.53,No,Brooke,0.25
1086,01/03/2021,2021/03/01,2021,Product 2,Electronics,Texas,South,  South ,"New York City, Texas",USA,23.0,345.0,437.15,Unknown,CHRIS,0.30
1086,01/03/2021,01-03-2021,2021,Product 2,Electronics,Georgia,South,  South ,"Philadelphia, Georgia",USA,23.0,345.0,420.92,Yes,Drew,0.15
1087,01/03/2021,01-03-2021,2021,Product 2,Electronics,Florida,East,  East ,"Houston, Florida",USA,24.0,360.0,486.71,No,Elliot,0.20
1087,01/03/2021,01-03-2021,2021,Product 2,Electronics,North Carolina,East,  East ,"Atlanta, North Carolina",USA,27.0,405.0,528.48,Unknown,,0.25
1088,01/03/2021,01-03-2021,2021,Product 2,Electronics,California,West,  West ,"Miami, California",USA,25.0,375.0,547.32,Yes,alex,0.30
1088,01/03/2021,01-03-2021,2021,Product 2,Electronics,Washington,West,  West ,"New York City, Washington",USA,34.0,510.0,636.98,No,Brooke,0.15
1089,01/03/2021,01-03-2021,2021,Product 3,Electronics,New York,North,  North ,"Philadelphia, New York",USA,28.0,1400.0,1872.53,Unknown,CHRIS,0.20
